origin,host_family,host_genus,host_species,virus_genus,virus_subgenus
HP3,Pteropodidae,Macroglossus,Macroglossus minimus,Flavivirus,NA
HP3,Vespertilionidae,Scotophilus,Scotophilus nigrita,Flavivirus,NA
HP3,Emballonuridae,Taphozous,Taphozous perforatus,Flavivirus,NA
HP3,Phyllostomidae,Anoura,Anoura geoffroyi,Flavivirus,NA
HP3,Phyllostomidae,Dermanura,Artibeus cinereus,Flavivirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus jamaicensis,Flavivirus,NA
HP3,Phyllostomidae,Artibeus,Artibeus lituratus,Flavivirus,NA
HP3,Phyllostomidae,Carollia,Carollia brevicauda,Flavivirus,NA
HP3,Phyllostomidae,Carollia,Carollia perspicillata,Flavivirus,NA
HP3,Phyllostomidae,Desmodus,Desmodus rotundus,Flavivirus,NA
HP3,Molossidae,Molossus,Molossus molossus,Flavivirus,NA
HP3,Molossidae,Molossus,Molossus rufus,Flavivirus,NA
HP3,Vespertilionidae,Myotis,Myotis nigricans,Flavivirus,NA
HP3,Natalidae,Natalus,Natalus stramineus,Flavivirus,NA
HP3,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Flavivirus,NA
HP3,Mormoopidae,Pteronotus,Pteronotus davyi,Flavivirus,NA
HP3,Mormoopidae,Pteronotus,Pteronotus parnellii,Flavivirus,NA
HP3,Pteropodidae,Pteropus,Pteropus alecto,Flavivirus,NA
HP3,Pteropodidae,Pteropus,Pteropus scapulatus,Flavivirus,NA
HP3,Pteropodidae,Rousettus,Rousettus leschenaultii,Flavivirus,NA
HP3,Vespertilionidae,Scotophilus,Scotophilus kuhlii,Flavivirus,NA
HP3,Phyllostomidae,Sturnira,Sturnira lilium,Flavivirus,NA
HP3,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,Flavivirus,NA
HP3,Phyllostomidae,Glossophaga,Glossophaga soricina,Flavivirus,NA
HP3,Natalidae,Natalus,Natalus tumidirostris,Flavivirus,NA
HP3,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,Flavivirus,NA
HP3,Pteropodidae,Cynopterus,Cynopterus sphinx,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros armiger,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros bicolor,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros cineraceus,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros pomona,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros speoris,Flavivirus,NA
HP3,Miniopteridae,Miniopterus,Miniopterus schreibersii,Flavivirus,NA
HP3,Miniopteridae,Miniopterus,Miniopterus schreibersii,Flavivirus,NA
HP3,Vespertilionidae,Murina,Murina aurata,Flavivirus,NA
HP3,Vespertilionidae,Murina,Murina leucogaster,Flavivirus,NA
HP3,Vespertilionidae,Myotis,Myotis macrodactylus,Flavivirus,NA
HP3,Vespertilionidae,Myotis,Myotis mystacinus,Flavivirus,NA
HP3,Vespertilionidae,Pipistrellus,Pipistrellus abramus,Flavivirus,NA
HP3,Vespertilionidae,Plecotus,Plecotus auritus,Flavivirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Flavivirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus pusillus,Flavivirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus rouxii,Flavivirus,NA
HP3,Emballonuridae,Taphozous,Taphozous melanopogon,Flavivirus,NA
HP3,Vespertilionidae,Vespertilio,Vespertilio sinensis,Flavivirus,NA
HP3,Pteropodidae,Eonycteris,Eonycteris spelaea,Flavivirus,NA
HP3,Hipposideridae,Hipposideros,Hipposideros lankadiva,Flavivirus,NA
HP3,Vespertilionidae,Myotis,Myotis lucifugus,Flavivirus,NA
HP3,Vespertilionidae,Vespadelus,Vespadelus pumilus,Flavivirus,NA
HP3,Phyllostomidae,Dermanura,Artibeus phaeotis,Flavivirus,NA
HP3,Phyllostomidae,Dermanura,Artibeus toltecus,Flavivirus,NA
HP3,Vespertilionidae,Eptesicus,Eptesicus fuscus,Flavivirus,NA
HP3,Mormoopidae,Mormoops,Mormoops megalophylla,Flavivirus,NA
HP3,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Flavivirus,NA
HP3,Molossidae,Tadarida,Tadarida brasiliensis,Flavivirus,NA
HP3,Nycteridae,Nycteris,Nycteris gambiensis,Flavivirus,NA
HP3,Phyllostomidae,Sturnira,Sturnira tildae,Flavivirus,NA
HP3,Phyllostomidae,Mimon,Mimon crenulatum,Flavivirus,NA
HP3,Phyllostomidae,Uroderma,Uroderma bilobatum,Flavivirus,NA
HP3,Pteropodidae,Pteropus,Pteropus vampyrus,Flavivirus,NA
